district,Mar,Apr,May,Jun,Jul,Sep,Oct,Nov,Dec
ahmedabad,1.0,0.7553583168967785,1.0,0.8861181940902955,1.0,0.4307188722382109,1.2654984037841712,2.1648805215175506,1.0409315869447813
bengaluru urban,0.6679900214778351,1.989831612340725,1.1469914372894956,1.0140891986280338,1.1793676863067133,0.5022722206058771,1.38836387200044,1.0654102420798066,1.0557496481481399
jaipur,1.0,0.8458694832138816,0.8124262466039134,0.7628514755538058,1.080874886797113,0.4745309545127478,1.1806698363364356,1.4359096443549821,1.0216754794558354
mumbai,1.0,0.7559927775356453,1.0,0.9716872147415867,1.1218276916276844,0.5140376546404435,2.0605711895050933,1.283183264153007,0.8718695957111425
nashik,1.0,0.6332384341637011,1.0,1.1279359664086077,1.3972778036295952,0.4984288200288016,1.664167161047852,1.5719254252754171,0.6915085741634169
north west,0.500525568928365,1.1336961665877898,0.8598920863309353,0.5973180878012503,0.9937384898710866,0.46837427411825255,1.5943763475500152,1.3120585345355686,1.069458655250732
pune,1.0,0.685382016573718,0.927336999214454,1.0608689237125064,1.3384059062829592,0.4807581098129004,1.6596658630080978,1.477095575284153,0.8409060418824155
south 24 parganas,1.0,0.5131571816767181,1.0,0.9709590622777085,1.5280209982167545,0.38329150280044455,1.6551385843476207,1.2684071357643376,0.8020337307661066
surat,1.0,0.8183728464589578,1.0640297650772825,0.6774457262239986,1.0,0.4159791801151229,1.4767695361647475,1.9913649527180404,0.9796325637113458
thane,0.5003701574350452,1.0,1.117347066951388,1.1883038042989478,1.1242615101667575,0.5577330051269527,1.6173938784713071,1.3320254206148368,0.8218179187771483
